event_date,custom_session_id,revenue
2020-11-05,56795799.9574176777_5102899826,34.0
2020-11-05,56795799.9574176777_5102899826,8.0
2020-11-06,3947718.3318468480_1307500392,18.0
2020-11-06,4404869.0998982911_9697861407,17.0
2020-11-06,5478191.7625370733_6742733259,18.0
2020-11-06,6023477.7138695000_8141825556,16.0
2020-11-06,8504426.1216196705_3599378234,96.0
2020-11-06,8504426.1216196705_3599378234,92.0
2020-11-06,16382639.4243528287_3045626679,30.0
2020-11-06,17457644.0722062090_3065797325,11.0
2020-11-06,30804246.1427824751_3971972636,32.0
2020-11-06,32112446.4717494797_7516234377,100.0
2020-11-06,32315141.7266068238_6675823828,20.0
2020-11-06,43750028.1825830479_2104798917,61.0
2020-11-06,43869984.9708200846_4414590159,20.0
2020-11-06,48517782.6581183636_6144091071,91.0
