event_date,custom_session_id,revenue
2020-11-02,51248671.8133898155_2337712791,75.0
2020-11-02,51248671.8133898155_2337712791,60.0
2020-11-02,51248671.8133898155_2337712791,300.0
2020-11-02,51248671.8133898155_2337712791,60.0
2020-11-02,51248671.8133898155_2337712791,240.0
2020-11-02,51248671.8133898155_2337712791,270.0
2020-11-02,91518233.2791103693_2243068640,9.0
2020-11-02,91518233.2791103693_2243068640,14.0
2020-11-02,91518233.2791103693_2243068640,9.0
2020-11-02,83008565.9882087584_2170386425,20.0
2020-11-02,91518233.2791103693_2243068640,35.0
2020-11-02,91518233.2791103693_2243068640,14.0
2020-11-02,91518233.2791103693_2243068640,9.0
2020-11-02,43435921.9728597976_7718363556,19.0
2020-11-02,43435921.9728597976_7718363556,7.0
2020-11-02,43435921.9728597976_7718363556,56.0
2020-11-02,43435921.9728597976_7718363556,7.0
2020-11-02,43435921.9728597976_7718363556,48.0
2020-11-02,43435921.9728597976_7718363556,11.0
2020-11-02,43435921.9728597976_7718363556,14.0
2020-11-02,10295267.8818269139_3505934777,3.0
2020-11-02,10295267.8818269139_3505934777,92.0
2020-11-02,10295267.8818269139_3505934777,20.0
2020-11-02,10295267.8818269139_3505934777,12.0
2020-11-02,83008565.9882087584_2170386425,34.0
2020-11-02,10295267.8818269139_3505934777,12.0
2020-11-02,10295267.8818269139_3505934777,10.0
2020-11-02,10295267.8818269139_3505934777,1.0
2020-11-02,10295267.8818269139_3505934777,15.0
2020-11-02,88155637.3076180121_5978440084,22.0
2020-11-02,88155637.3076180121_5978440084,12.0
2020-11-02,88155637.3076180121_5978440084,10.0
2020-11-02,89492716.5386437517_2808618407,13.0
2020-11-02,89492716.5386437517_2808618407,16.0
2020-11-02,89492716.5386437517_2808618407,4.0
2020-11-02,89492716.5386437517_2808618407,16.0
2020-11-02,88155637.3076180121_5978440084,14.0
2020-11-02,91518233.2791103693_2243068640,14.0
2020-11-02,91518233.2791103693_2243068640,35.0
2020-11-02,91518233.2791103693_2243068640,9.0
2020-11-02,7128823.1776740707_2475826590,20.0
2020-11-02,7128823.1776740707_2475826590,38.0
2020-11-02,7128823.1776740707_2475826590,4.0
2020-11-02,7128823.1776740707_2475826590,76.0
2020-11-02,7128823.1776740707_2475826590,32.0
